School,District,Division1,Pupils,
Ruhonwali Primary School,Kabale,1,15,
Katwigye Primary School,Kabale,2,30,
Kyeya P/S,Kabale,7,74,
Mayengo Primary School,Kabale,1,18,
Kiyebe Primary School,Kabale,1,18,
Bucundura Primary school,Kabale,3,43,
Kashongati Primary School,Kabale,4,70,
Butobere P/S,Kabale,2,20,
Nyabirerema Primary School,Kabale,2,27,
Kiundwe Primary School,Kabale,4,27,
Kigara Primary School,Kabale,5,65,
Nyamweru Primary School,Kabale,5,64,
Rukore Primary School,Kabale,9,58,
Nyamasiizi Primary School,Kabale,6,73,
Nyakihanga Primary School,Kabale,9,57,
IIemeera Primary School,Kabale,4,47,
Junction P/S,Kabale,24,149,
Kitumba P/S,Kabale,4,36,
Kyadyoko P/S,Kabale,8,94,
Kakatunda Progressive Pri Sch,Kabale,14,85,
Rutooma P/S,Kabale,6,36,
Kyenzige P/S,Kabale,1,54,
Kicumbi Primary School,Kabale,1,53,
Muhanga-Kitaburaza Prim Sch,Kabale,8,28,
Nyabushabi Primary Sch,Kabale,8,45,
Kiruruma Primary School,Kabale,1,53,
Rwamazuru Primary School,Kabale,1,53,
Mpamba P/S,Kabale,1,53,
Karambwe Primary School,Kabale,8,27,
Muyumbu Primary School,Kabale,1,51,
Mwisi Primary School,Kabale,25,78,
Kabale Parents School,Kabale,11,34,
Katenga Primary School,Kabale,14,43,
Kiniogo Primary School,Kabale,5,27,
Rubanda Mixed Pr School,Kabale,37,108,
Bukwata Primary School,Kabale,19,55,
Mulamboli Primary School,Kabale,27,75,
Karengyere Primary School,Kabale,12,63,
Kamwwezi Primary School,Kabale,1,46,
Katuna Primary School,Kabale,6,30,
kaara Primary School,Kabale,1,45,
Kyenyi Primary School,Kabale,1,45,
Rukiga Primary School,Kabale,30,65,
St.Maria Theresa Rushoroza P/S,Kabale,18,83,
Kinkungiri P/S,Kabale,27,123,
Nyeikunama Primary School,Kabale,13,59,
Kigezi High School Primary,Kabale,35,72,
Kabale P/S,Kabale,37,163,
Rujanjara Primary School,Kabale,1,44,
Makanga P/S,Kabale,8,33,
Kagadi Day And Boarding Sch,Kabale,17,69,
Ndorwa P/S ,Kabale,55,101,
Nyabikoni P/S,Kabale,77,129,
Kyabasara P/S,Kabale,1,42,
Kahondo Primary School,Kabale,1,40,
Millennium Primary School,Kabale,23,34,
New Foundation P/S,Kabale,32,43,
Home Care Preparatory P/S,Kabale,56,75,
Kigata Primary School,Kabale,1,59,
Kigata Primary School,Kabale,1,59,
Kigata Primary School,Kabale,1,59,
Kigata Primary School,Kabale,1,59,
Kigata Primary School,Kabale,1,59,
Kigata Primary School,Kabale,1,59,
Kigata Primary School,Kabale,1,59,
Mengo Primary School,Kabale,1,38,
St.Maria Goretti P/S,Kabale,79,86,
Kabale Preparatory School,Kabale,31,33,
Ainembabazi P/S,Kabale,20,21,
Bishop Asili Mem Nursery P/S,Kabale,22,22,
Kyamuhemba Primary School,Kabarole,1,34,
Kyamatanga P/S,Kabarole,2,59,
Kinyampanika P/S,Kabarole,2,56,
Gweri Primary School,Kabarole,2,53,
Nyakitokoli Primary School,Kabarole,1,31,
Kiryantama P/S,Kabarole,1,24,
Bulyambagshu Sda Pri.,Kabarole,3,26,
Busiita Primary School,Kabarole,6,52,
Kyeya Primary School,Kabarole,3,26,
Kisomoro Primary School,Kabarole,5,43,
Gatyanga Primary School,Kabarole,2,46,
Mpumbu Primary School,Kabarole,2,44,
Buhara Primary School,Kabarole,3,24,
Kibate Sda Primary School,Kabarole,3,52,
Kanyamukale Primary School,Kabarole,2,34,
Kabale Moslem Primary School,Kabarole,3,51,
Nsongya Primary School,Kabarole,7,50,
Mitanda Sda P/S,Kabarole,8,57,
Kitere Primary School,Kabarole,2,30,
Bunyonyi Primary School,Kabarole,2,39,
Bunjojo Primary School,Kabarole,2,39,
Kahuna Primary School,Kabarole,3,58,
Komyamperre Primary School,Kabarole,4,44,
Rwettera Primary School,Kabarole,2,30,
Mujunju Primary School,Kabarole,4,43,
Kiboota P/S,Kabarole,7,73,
Bwabya Primary School,Kabarole,22,224,
Knyabuhara Primary School,Kabarole,3,41,
Katugunda Primary School,Kabarole,8,55,
Kasunganyanja P/S,Kabarole,11,75,
Kiamara Primary School,Kabarole,8,54,
Rwano Primary School,Kabarole,7,47,
Mituuli Primary School,Kabarole,7,69,
Pere-Achte Primary School,Kabarole,2,26,
Nsuura Primary School,Kabarole,4,38,
Rwimi Primary School,Kabarole,6,56,
Kadindimo Primary School,Kabarole,2,24,
Kyantambara Primary School,Kabarole,2,24,
kitarasa Primary School ,Kabarole,4,37,
Nyakatonzi Primary School,Kabarole,2,24,
Burungi Primary School,Kabarole,12,75,
Kazingo Sda Primary School,Kabarole,3,27,
Rwenkyenzi Primary School,Kabarole,5,31,
Kyairumba Primary School,Kabarole,7,82,
Bukuuku Primary School,Kabarole,8,48,
Hope Primary School,Kabarole,10,58,
Kabende Primary School,Kabarole,4,45,
Nyamisingiri Primary School,Kabarole,1,54,
Nyakasura Junior Pr.School,Kabarole,18,66,
Bukurungu B P/S,Kabarole,8,29,
Bunaiga Primary School,Kabarole,14,79,
Kabahango P/S,Kabarole,19,65,
Bubwika Primary School,Kabarole,17,58,
Maguga Primary School,Kabarole,8,44,
Mbuga Primary School,Kabarole,17,52,
Kyakatabazi Primary School,Kabarole,5,27,
Nyabwina Primary School,Kabarole,9,48,
Kimbugu Primary School,Kabarole,10,29,
Kasende Primary School,Kabarole,13,37,
Kinyankende Primary School,Kabarole,45,123,
Karambi Primary School,Kabarole,12,62,
Kiyomba P/S,Kabarole,18,48,
Rugaaga Primary School,Kabarole,16,42,
Kyaitamba Primary School,Kabarole,14,70,
Buheesi P/S,Kabarole,9,45,
St.John's Nsongye Pri.School,Kabarole,16,38,
St.Adolf Primary School,Kabarole,12,59,
Mugusu Primary School,Kabarole,32,73,
Kiko Primary School,Kabarole,13,29,
Kasiisi Primary School,Kabarole,45,97,
Kabata Primary School,Kabarole,23,48,
Kiguma Primary School,Kabarole,24,49,
St.Francis Rwengwara P/S,Kabarole,4,18,
Karambi Primary School,Kabarole,9,40,
Kazingo Primary School,Kabarole,16,70,
Mts Of The Moon Pri.School,Kabarole,18,77,
St.John's Yerya Pri.School,Kabarole,57,108,
Bagaaya Primary School,Kabarole,8,33,
Karugaya Sda Primary School,Kabarole,31,123,
Kibiito Primary School,Kabarole,64,112,
Kigarama Boys Primary School,Kabarole,37,62,
Nyansozi Primary School,Kabarole,10,38,
Kaboyo Primary School,Kabarole,40,58,
Kaguma P/S,Kabarole,40,58,
St.Norah Light and Guide P/S,Kabarole,22,31,
Kichwamba B Primary School,Kabarole,1,62,
Butebe Primary School,Kabarole,46,61,
Haibaale Primary School,Kabarole,52,65,
Muhangi Primary School,Kabarole,1,56,
Excel Primary School,Rwimi,Kabarole,49,30.3783
St. Jude Kyegobe Pri.School,Kabarole,21,21,
Okapel Primary School,Kaberamaido,1,36,
Lwala Boys Primary school,Kaberamaido,1,35,
Teete Primary School,Kaberamaido,1,29,
Oriamo Primary School,Kaberamaido,1,33,
Alwa Primary School,Kaberamaido,3,83,
Otuboi Township Primary School,Kaberamaido,1,28,
Amukurat/Kalaki Primary School,Kaberamaido,1,31,
Kakure Primary School,Kaberamaido,2,48,
Kaburuburu Primary School,Kaberamaido,3,62,
Abalang Primary School,Kaberamaido,4,56,
Kaberamaido Township P/S,Kaberamaido,5,66,
Kinyamira Primary School,Kaberamaido,4,39,
Opilitok Primary School,Kaberamaido,1,55,
Otuboi Primary School,Kaberamaido,1,52,
Ouisa Primary School,Kaberamaido,1,51,
Alem Primary School,Kaberamaido,1,65,
Bumangi Primary School,Kalangala,2,34,
Kasekulo Primary School,Kalangala,1,17,
Kibaale Primary School,Kalangala,1,15,
Kaloke Primary School,Kalangala,12,18,
Bugoma Mapeera Primary School,Kalangala,4,25,
Bbeta Primary School,Kalangala,5,25,
Lake Victoria Edu.Centre P/S,Kalangala,16,36,
Kibanga Primary School,Kalangala,9,36,
Busseruka Primary School,Kalangala,1,71,
Kalilo Primary School,Kaliro,5,150,
Kirama Fellowship Pri.School,Kaliro,3,103,
Buluya Parents Primary School,Kaliro,1,34,
Namwima Primary School,Kaliro,5,161,
Faith Islamic Kabaale,Kaliro,4,100,
Bulumba Primary School,Kaliro,7,215,
Namukoonge Primary School,Kaliro,1,123,
Kanankamba Primary School,Kaliro,1,110,
Nansololo Primay School,Kaliro,1,96,
Bukamba Primary School,Kaliro,1,87,
Budini Boys Primary School,Kaliro,19,146,
Nkonte Primary School,Kaliro,14,101,
Budini Girl's Primary School,Kaliro,6,86,
Bugonzi Ps,Kaliro,9,125,
Valley Hill Primary School,Kaliro,10,68,
Nabigwali Primary School,Kaliro,2,111,
Bright Future Jun Sch,Kaliro,6,17,
Bukumankoola Primary School,Kaliro,3,139,
Nawaikoke Primary School,Kaliro,2,89,
Kalilo Model Primary School,Kaliro,19,74,
Bumanya Primary School,Kaliro,1,70,
Kiti Muslim P/S,Kaliro,1,65,
Lubuulo Primary School,Kaliro,1,76,
St.Lulianamegge Primary School,Kaliro,1,57,
kalungu C/U Ps,Kalungu,2,71,
Bulungibwabazadde P/S,Kalungu,2,60,
Mother Janet Primary school,Kalungu,1,34,
Kirowooza P/S,Kalungu,2,68,
Kyambala Moslem P/S,Kalungu,2,58,
Kabale Lukaya,Kalungu,4,116,
Kigasa Baptist Primary School,Kalungu,1,27,
Kyabakuuma P/S,Kalungu,1,27,
St.Francis   Bbaala P/S,Kalungu,1,25,
Bulwadda P/S,Kalungu,1,25,
St Ceciliia Girls Pri School,Kalungu,5,44,
Kitembo P/S,Kalungu,1,24,
Lwannume P/S,Kalungu,1,83,
Kiti Kasasa Primary School,Kalungu,3,22,
Bukulula Mixed P/S,Kalungu,2,41,
Kasula P/S,Kalungu,3,56,
Kitosi Theological P/S,Kalungu,1,18,
Bajja Comity Primary School,Kalungu,2,28,
St Kizito P/S,Kalungu,8,80,
Kalungu Mixed,Kalungu,7,91,
St.Francis Villa P/S,Kalungu,8,51,
Rwoburundo Junior School,Kalungu,20,33,
St. Joseph Kigaaju P/S,Kalungu,1,54,
St Charles Kassli P/S,Kalungu,1,50,
Wagwa Memorial Primary School,Kalungu,15,45,
Kamutuuza C/U  Tower P/S,Kalungu,7,35,
Stenseera Education Centre,Kalungu,6,29,
kabukunge Demonstration Sch,Kalungu,1,45,
Kizito Lwengo P/S,Kalungu,1,44,
Bwanda St.Thereza P/S,Kalungu,30,56,
Yesu Akwagala Primary School,Kalungu,11,20,
New Kalungu West P/S,Kalungu,12,20,
St.Emmanuel Pilot P/S,Kalungu,14,23,
Lugeye Moslem Primary School,Kalungu,1,40,
Kyamusoke P/S,Kalungu,1,40,
Kyamulibwa P/S,Kalungu,28,36,
Mirembe R/C Primary School,Kalungu,1,60,
Byana Maryhill Boarding P/S,Kalungu,18,22,
Kitamba P/S,Kalungu,1,37,
Kitamba P/S,Kalungu,1,37,
Kitamba P/S,Kalungu,1,37,
Sacred Heart P/S Kyasala,Kalungu,43,46,
St. Mary Immaculate,Kalungu,31,31,
Katwe Primary School,Kampala,7,250,
Ndeeba Junior school,Kampala,1,35,
Military Police Primary School,Kampala,2,58,
Kitintale Madrasatil Islamiya,Kampala,1,34,
St.Kizito Kiribedda P/S,Kampala,3,83,
Nakivubo Primary School,Kampala,4,113,
Nakivubo Primary School,Kampala,4,113,
Nakivubo Primary School,Kampala,4,113,
Olimpic Parents Primary School,Kampala,5,136,
Mbajja Primary School,Kampala,2,51,
Ggaba Dem Primary School,Kampala,4,100,
Katwe Noor Primary School,Kampala,4,124,
Police Children School Ntinda,Kampala,2,49,
Kawempe Mbogo Primary School,Kampala,3,73,
Kiwatule Primary School,Kampala,12,106,
Uganda Govt Upper Prison Sch,Kampala,3,72,
Kahunde P/Sch,Kampala,3,71,
Lubiri P/S,Kampala,4,93,
Red Hamisha Needy P/S,Kampala,3,69,
Reachout Primary School,Kampala,1,23,
Kawempe Islamic Seminary,Kampala,2,17,
Kampala Primary School,Kampala,1,104,
Kyagwe  Road P/Sch,Kampala,3,68,
Cornerstone Comity School,Kampala,3,25,
Sir.Miriam Duggan P/S,Kampala,2,45,
Maranathan Christian School,Kampala,4,33,
Shimoni Demonstration School,Kampala,11,89,
Time Infant Sch.Kawempe,Kampala,2,44,
Winners Primary School,Kampala,4,32,
Jussam Primary School,Kampala,2,43,
Martys'  Comity    Centre Ps,Kampala,7,148,
Pioneer Primary School,Kampala,1,17,
kyanja Muslim Primary School,Kampala,17,130,
kasanga Junior School,Kampala,11,84,
Kisaakye Primary School,Kampala,2,15,
St Paul C/U P/S Kyebando,Kampala,30,220,
Nsooba Parents Primary School,Kampala,11,228,
Africa Child Primary School,Kampala,1,20,
Old Kampala Primary School,Kampala,18,129,
Kibuye Primary School,Kampala,34,242,
Bbina Primary School,Kampala,36,256,
Rubaga Comity School,Kampala,1,15,
Kisugu Cu Primary School,Kampala,16,180,
Monnaarich Nursery & P/S,Kampala,4,45,
Nyoyo Primary School,Kampala,11,213,
Makerere Primary School,Kampala,8,88,
Summit View Primary School,Kampala,4,60,
Blessed Parents School,Kampala,4,43,
Parental Care Preperatory Sch.,Kampala,3,32,
Muslem Girls School,Kampala,4,72,
Outspan Sch,Kampala,3,53,
St.Charles Lwanga P/Sch,Kampala,7,123,
Kawempe Muslem Primary School,Kampala,11,192,
Mengo Noor Primary School,Kampala,3,31,
Nabagereka Primary School,Kampala,3,43,
Shepherd Primary School,Kampala,4,56,
Makindye Mothercare P/S,Kampala,3,41,
St.Marys Kibuye Primary School,Kampala,9,61,
Nagoona Kigobe P/s,Kampala,12,163,
Mirembe Primary School,Kampala,34,230,
Cilia Junior Primary School,Kampala,4,27,
Senteza Primary School,Kampala,3,20,
Nakivubo Settlement Primary School,Kampala,18,120,
Hope P/S Masanafu,Kampala,5,33,
Ttula Primary School,Kampala,27,177,
Police Children Kam,Kampala,12,118,
Eamily Primary School,Kampala,5,49,
Mpere Primary School,Kampala,28,272,
St.Paul Primary School,Kampala,24,232,
Mutundwe Model School,Kampala,3,29,
Kazo Parents P/S,Kampala,9,86,
Makidye Citizen P/S,Kampala,8,76,
Bukasa Primary School,Kampala,16,199,
Bwaise Parents P/Sch,Kampala,5,62,
Kansanga Primary School,Kampala,11,136,
Bukoto Muslim Primary School,Kampala,12,148,
Treasured Kids P/S,Kampala,8,52,
Kanyanya Primary School,Kampala,15,140,
Nakinyuguzi Primary School,Kampala,8,58,
Kawuku Primary School,Kampala,9,58,
Kyambogo Primay School,Kampala,8,96,
St.Paul Banda Primary School,Kampala,12,76,
St.Andrew P/S, Mutundwe,Kampala,1,32.5888
Kcc Primary School Kamwokya,Kampala,15,136,
Stallion Primary School,Kampala,4,25,
Luzira Murchison Bay P/S,Kampala,39,351,
Mulago Primary School,Kampala,4,36,
B.B.C Primary School,Kampala,3,18,
Bat Valley Primary School,Kampala,27,159,
Liberty Education Centre,Kampala,2,110,
Namutebi Nkata Primary School,Kampala,10,37,
Eaglets Primary School,Kampala,16,59,
Kalinabiri Primary School,Kampala,42,152,
St.Anthanasius P/S,Kampala,18,65,
Busega Primary School,Kampala,5,18,
Eaak P/S,Kampala,9,32,
Wisdom Primary School Lugala,Kampala,16,90,
Kitante Primary School,Kampala,108,374,
Wheeling Preparatory,Kampala,16,54,
St.Henry's P/S Muyenga,Kampala,22,74,
Bunga Primary School,Kampala,26,87,
Katwe United Primary School,Kampala,19,63,
Kibuli Demostration School,Kampala,31,102,
Conerstone Parents Sch.,Kampala,14,78,
East Kolo Primary School,Kampala,21,116,
Kawempe C/U Primary School,Kampala,3,152,
Railway Children School,Kampala,33,182,
Guiding Star Primary School,Kampala,10,32,
Sanyu Primary School,Kampala,13,41,
Good Day Nursery An P/S,Kampala,4,22,
Kasubi Church of God P/S,Kampala,11,34,
Red Star Primary School,Kampala,20,109,
Noble Care Primary School,Kampala,9,27,
Nsambya Junior School,Kampala,7,21,
St.Peters Nsambya,Kampala,130,380,
Kabangala Parents School,Kampala,12,35,
Bilal Islamic Sch,Kampala,17,91,
Victor Primary School,Kampala,14,40,
Nateete Modern Parents School,Kampala,27,76,
St.Kizito School Kansanga,Kampala,9,25,
Murchison Bay Naomi F Cog P/S,Kampala,5,26,
Jack & Jill Primary School,Kampala,12,33,
Uganda Martyrs P/S Lubaga,Kampala,21,109,
Ggaba Model Primary School,Kampala,24,65,
Bright Junior Primary School,Kampala,6,31,
Kisugu Preparatory P/S,Kampala,8,41,
Penstar Primary School,Kampala,6,16,
Erina Bright Ps Makindye,Kampala,15,39,
United Apostolic P/S,Kampala,9,23,
Hope Nabulagala P/S,Kampala,8,20,
Kisaasi Primary School,Kampala,25,128,
Sheehan Standard Pri.School,Kampala,15,37,
Kamwokya Islamic Primary School,Kampala,14,71,
St.Lawrence Kigoowa Pri.School,Kampala,25,126,
Port Bell Primary School,Kampala,5,25,
Wisdom Primary School,Kampala,6,30,
Stponsiano Kyamula Pri.School,Kampala,39,191,
Tara Primary School,Kampala,20,46,
Kawempe Modern Primary School,Kampala,10,23,
St.Francis Junior Academy,Kampala,7,16,
Brain Tree Pri.School Kyanja,Kampala,7,16,
Kigoowa  Infants School,Kampala,16,29,
Christ The King Primary School,Kampala,11,53,
Mengo Muteesi Li Memorial Primary School,Kampala,18,86,
Kyanja Junior P/S,Kampala,16,36,
Nsambya Girls Primary School,Kampala,40,89,
Arcobaleno Pri.School Mbuya,Kampala,14,31,
St.Kizito Bwaise Pri.School,Kampala,14,66,
Kiwatule Parents Prep School,Kampala,35,77,
St.Martin's Day P/S,Kulambiro,Kampala,12,32.5888
Konge Parents Academy School,Kampala,6,28,
God Cares Primary School,Kampala,15,70,
Mildcare Parent's School,Kampala,88,188,
Alpha and Omega P/S,Kampala,37,79,
Cecilia and Paul Learg.Centre,Kampala,16,34,
Dinadona Preparatory School,Kampala,18,38,
Kiwuliriza Primary School,Kampala,8,37,
Pearl Africa P/S,Kampala,5,23,
Bbunga Hill Primary School,Kampala,10,46,
Kiddawalime Preparatory School,Kampala,37,77,
St.Peter Claver Educ. Centre,Kampala,9,41,
Lungujja Progressive P/S,Kampala,17,35,
Clever's Origin Junior Sch,Kampala,51,105,
Namirembe Hill P/S,Kampala,15,30,
Buganda Road Primary School,Kampala,75,337,
Omega Primary School,Kampala,7,31,
Biina Muslim Primary School,Kampala,41,181,
Shiperoy Primary School,Kampala,33,64,
Step By Step Primary School,Kampala,6,26,
New Rock Foundation P/S Kabowa,Kampala,7,30,
Biotec P/S,Kampala,12,23,
City Junior School,Kampala,21,40,
Bright Future Primary School,Kampala,15,63,
Happy Hours P/Sh,Kampala,32,60,
Luwafu Junior School,Kampala,7,29,
Sancta Maria Pre.Sch,Kampala,13,24,
Mirembe Junior P/S,Kampala,17,31,
Bright Trust Primary School,Kampala,22,40,
King Fahad Islamic Pri.School,Kampala,82,149,
Makindye Junior Academy,Kampala,26,47,
Kiswa Primary School,Kampala,37,147,
Makerere Univ. Primary School,Kampala,3,129,
Buziga Islamic Theological Ins,Kampala,17,67,
Wabigalo Primary School,Kampala,10,39,
Simeka P/S,Kampala,13,23,
Jojana Primary School,Kampala,19,74,
St.Barnabasi Primary School,Kampala,25,44,
Hillstone School,Kampala,12,21,
Golden Gate P/S,Kampala,9,35,
The Teletubbies P/S,Kampala,20,34,
Nakasero Primary School,Kampala,71,273,
Happy Years Primary School,Kampala,54,91,
St.John Baptist Pri. School,Kampala,2,84,
New Africa Child P/S,Kampala,8,30,
Froebel Primary School,Kampala,16,26,
Kibedi Primary School,Kampala,1,78,
Habanomu Quality Academy,Kampala,1,74,
Kansanga Hill Primary School,Kampala,29,46,
Kairos Primary School,Kampala,21,33,
The Aga Khan P/S,Kampala,53,83,
Edinance P/S,Kampala,20,31,
St.Kizito Ps Bugolobi,Kampala,74,114,
Train A Child P/S Bugolobi,Kampala,67,103,
Elyon P/S,Kampala,17,26,
Ridgeway Grammer P/S,Kampala,16,24,
Kisuule Primary School,Kampala,26,39,
Tawhiid Islamic Primary School,Kampala,18,27,
New Bubajjwe P/Sch,Kampala,1,68,
St.Adrew Primary School,Kampala,1,66,
Shalom P/S,Kampala,11,16,
Kanyanya C/U P.7 School,Kampala,1,65,
St.Lawrence Junior School,Kampala,51,73,
Nateete Junior P/S,Kampala,19,27,
Victorious P/S,Kampala,77,108,
Makindye Junior School,Kampala,55,76,
Bright Day @Boarding Sch,Kampala,51,70,
Kampala Academy,Kampala,33,44,
Kampala Model Primary School,Kampala,31,41,
Waterford P/S Najjanankumbi,Kampala,28,37,
Kihembe Primary School,Kampala,1,61,
Mbuya Parents School,Kampala,99,129,
Ebenezer Primary School ,Kampala,61,79,
Eliana Junior School,Kampala,28,36,
Kisugu Junior School,Kampala,34,43,
Trinity Primary School(Bukoto),Kampala,27,34,
Hormisdallen Day School,Kampala,132,166,
Hormisdallen Mixed Day And Bdg,Kampala,125,155,
Green Hill Academy,Kampala,201,248,
St. John Bosco Junior P/S,Kampala,1,38,
Lohana P/S,Kampala,13,16,
Bright Comity P/S Kyebando,Kampala,39,48,
Kampala Junior Kitante Primary School,Kampala,71,87,
Pic-Hill Primary ,Kampala,83,100,
Namirembe Parents P/S,Kampala,98,118,
City Parent Sch,Kampala,233,279,
Silver Spoon Primary School,Kampala,39,46,
Creamhill P/S,Kampala,29,34,
Mother Kevin Memorial P/S,Kampala,34,39,
St.Francis Ntinda,Kigoowa,Kampala,96,32.5888
Kampala Hill Academy,Kampala,29,33,
Bethel Primary School,Kampala,1,37,
St.Kizito Kyamulibwa Primary School,Kampala,18,20,
Lohana Academy,Kampala,57,63,
Sir Apollo Kaggwa Road Primary School,Kampala,134,143,
Joy Primary School,Kampala,19,20,
Bright Junior School,Kampala,29,30,
St.Angella Primary School,Kampala,35,36,
Cleveland Hill Primary School,Kampala,41,42,
Sir Apollo Kaggwa P/S Mengo,Kampala,124,127,
Sir Apollo Kaggwa P/S Nakasero,Kampala,58,59,
Wandegeya Muslim P/sch,Kampala,4,145,
Lwagula Memorial Pri.School,Kampala,17,17,
Kabojja Junior Primary School ,Kampala,123,123,
Busuuli Primary School,Kamuli,3,106,
Buguwa P/S,Kamuli,1,35,
Nawandyo Primary School,Kamuli,3,105,
Kasozi Primary school,Kamuli,1,34,
Nambale Ps,Kamuli,2,58,
Kasolwe P/S,Kamuli,2,67,
Balawoli P/S,Kamuli,4,115,
Bulogo P S,Kamuli,3,85,
Bukose Primary School,Kamuli,1,28,
Isiimba Primary School,Kamuli,5,135,
Kiroba P S,Kamuli,2,53,
Bukyonza Primary School,Kamuli,1,31,
Namasagali Primary School,Kamuli,4,122,
Kananage Primary School,Kamuli,1,24,
Luzinga Primary School,Kamuli,1,190,
Naluwoli Primary School,Kamuli,1,114,
Bugulumbya Primary School,Kamuli,1,103,
Nalango Primary School,Kamuli,1,84,
Happy Times Preparatory School,Kamuli,2,43,
Namaira P/S,Kamuli,3,50,
Buwoya Muslim Primary School,Kamuli,3,60,
Butegere P/S,Kamuli,1,20,
Nabwigulu Primary School,Kamuli,5,99,
Kamuli Parents Primary School,Kamuli,2,39,
Naibowa Muslim Primary School,Kamuli,4,60,
Kyamatende P/S,Kamuli,4,77,
Busambu Primary School,Kamuli,8,151,
Nayenga Primary School,Kamuli,12,123,
Jinja Road Tawheed P/S,Kamuli,6,58,
St.Theresa Girls Primary School,Kamuli,5,60,
Nyarugoota Primary School,Kamuli,5,60,
Naminage Mixed School,Kamuli,20,126,
Kamuli  Township School,Kamuli,24,148,
Bugondha Pri School,Kamuli,3,35,
Mpakitonyi P/S,Kamuli,2,105,
Nankandulo Moslem Pri. School,Kamuli,1,50,
Bulopa P/S,Kamuli,12,62,
Matuumuu Catholic Primary School,Kamuli,4,182,
kabukye Primary School,Kamuli,2,90,
Kasambira Primary School,Kamuli,2,89,
Mutekanga Memorial P/S,Kamuli,1,44,
Edhirumamwino P/S,Kamuli,14,58,
Kamuli Girls Primary,Kamuli,31,58,
St.Jude Pri. School,Mbulamuti,Kamuli,1,33.1173
Kiseege Primary School,Kamuli,1,43,
Bugulusi Primary School,Kamuli,24,95,
Kamuli Boys Primary School,Kamuli,32,53,
Butende Primary School,Kamuli,1,78,
Kisozi Primary School,Kamuli,2,83,
Kinu Ps,Kamuli,1,41,
Buwaiswa P/S,Kamuli,2,142,
Luzinga Muslim Primary School,Kamuli,1,65,
Bukakande Primary School,Kamuli,3,119,
Buwuda Primary School,Kamuli,1,64,
Naibowa Primary School,Kamuli,2,127,
St.Stephens Nabwigulu P/S,Kamuli,1,63,
Kamuli Mixed Happy Hours P/S,Kamuli,73,92,
Kyeeya P/S,Kamuli,2,115,
Namaira Sda Primary School,Kamuli,2,75,
Namaira Sda Primary School,Kamuli,2,75,
Galinandha PS,Kamuli,2,74,
Nyabihoko Primary School,Kamwenge,1,36,
Kyabandara Primary School,Kamwenge,2,59,
Kabuye Primary School,Kamwenge,2,69,
Kiyagaara Primary School,Kamwenge,1,34,
Rwemiigo Primary School,Kamwenge,1,30,
Kiteer Primary School,Kamwenge,1,26,
Ntara Primary School,Kamwenge,2,50,
Nyarweya Michindo Primary School,Kamwenge,1,24,
Bwitankanja Primary School,Kamwenge,4,94,
Kanara Primary School,Kamwenge,1,23,
Nkoni Parents Primary School,Kamwenge,2,43,
Businge Primary School,Kamwenge,1,21,
Nyakahama Primary School,Kamwenge,2,32,
Kitonzi Primary School,Kamwenge,6,95,
Kibimbi Primary School,Kamwenge,2,31,
Kabambiro Primary School,Kamwenge,2,39,
Nkarakara Primary School,Kamwenge,2,22,
Kahunge Primary School,Kamwenge,9,98,
Rwengobe Primary School,Kamwenge,4,59,
Kamusenene Primary School,Kamwenge,2,21,
Muruhura Primary School,Kamwenge,11,78,
Nyabitusi Primary School,Kamwenge,3,41,
Kyehemba Primary School,Kamwenge,6,80,
Lyakahungu Primary School,Kamwenge,8,73,
Rukunyu Primary School,Kamwenge,1,44,
Nyabubale Primary School,Kamwenge,2,23,
Kamwenge Primary School,Kamwenge,38,98,
Ganyenda Primary School,Kamwenge,1,54,
kabuga Primary School,Kamwenge,1,52,
kabuga Primary School,Kamwenge,1,52,
Kihembe Primary School,Kanungu,1,28,
Mpangango Primary School,Kanungu,2,64,
Rushebeya Primary School,Kanungu,1,26,
Kazinga Primary School,Kanungu,3,74,
Nyakabungo Primary School,Kanungu,9,74,
Kanyashogi  Primary School,Kanungu,2,44,
Nyamwegabira Primary School,Kanungu,4,68,
Nyamwegabira Primary School,Kanungu,4,68,
Kyeshero Primary School,Kanungu,1,20,
Kayungwe Primary School,Kanungu,3,47,
Kihiihin Sure Foundation,Kanungu,1,15,
Kiruruma Primary School,Kanungu,6,65,
Nyakishojwa Primary School,Kanungu,4,43,
Naye Primary School,Kanungu,13,88,
Kambuga Primary School,Kanungu,8,79,
Rukarara Primary School,Kanungu,2,26,
Kihi Primary School,Kanungu,6,77,
Rwetamu Primary School,Kanungu,4,51,
Katebre Primary School,Kanungu,3,38,
Nkongoro Primary School,Kanungu,7,67,
Katete Primary School,Kanungu,7,67,
Nkambi Primary School,Kanungu,13,18,
Burema Primary School,Kanungu,6,54,
Bukorwe Primary School,Kanungu,17,103,
Kiguma Primary School,Kanungu,6,68,
Bukunga Primary School,Kanungu,3,34,
Epiphany Primary School,Kanungu,12,21,
Ntugamo Parents School,Kanungu,15,35,
Bright Future Primary School,Kanungu,30,49,
Runyinya Primary School,Kanungu,25,74,
Kagashe Primary School,Kanungu,13,38,
Mashuri Primary School,Kanungu,5,28,
Nyakashozi Primary School,Kanungu,12,65,
kyempara Primary School,Kapchorwa,1,35,
Simon Primary School,Kapchorwa,2,60,
Sipi Primary School,Kapchorwa,1,95,
Kapkwirwok P7 School,Kapchorwa,1,80,
